Trace_Number,Case_Number,time:timestamp,concept:name,vehicleClass,totalPaymentAmount,lifecycle:transition,dismissal,article,points,expense,notificationType,lastSent,paymentAmount,amount,org:resource
A10143,1,2007-03-12T00:00:00+01:00,Payment,,36.0,complete,,,,,,,36.0,,
A10144,0,2007-03-12T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,7,0,,,,,22.0,557
A10144,1,2007-03-17T00:00:00+01:00,Payment,,22.0,complete,,,,,,,22.0,,
A10147,0,2007-03-13T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,557
A10147,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10147,2,2007-07-23T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10147,3,2007-09-21T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10147,4,2009-03-30T00:00:00+02:00,Send for Credit Collection,,,complete,,,,,,,,,
A10150,0,2007-03-15T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,557
A10150,1,2007-03-19T00:00:00+01:00,Payment,,36.0,complete,,,,,,,36.0,,
A10151,0,2007-03-06T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,558
A10151,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10151,2,2007-08-04T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10151,3,2007-10-03T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10151,4,2009-03-30T00:00:00+02:00,Send for Credit Collection,,,complete,,,,,,,,,
A10152,0,2007-03-06T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,558
A10152,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10152,2,2007-07-25T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10152,3,2007-09-23T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10152,4,2009-03-30T00:00:00+02:00,Send for Credit Collection,,,complete,,,,,,,,,
A10153,0,2007-03-06T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,558
A10153,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10153,2,2007-07-23T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10153,3,2007-09-21T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10153,4,2009-03-30T00:00:00+02:00,Send for Credit Collection,,,complete,,,,,,,,,
A10154,0,2007-03-06T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,558
A10154,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10154,2,2007-07-23T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10154,3,2007-09-21T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10154,4,2009-03-30T00:00:00+02:00,Send for Credit Collection,,,complete,,,,,,,,,
A10156,0,2007-03-06T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,558
A10156,1,2007-03-07T00:00:00+01:00,Payment,,36.0,complete,,,,,,,36.0,,
A10157,0,2007-03-06T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,558
A10157,1,2007-04-13T00:00:00+02:00,Payment,,36.0,complete,,,,,,,36.0,,
A10158,0,2007-03-06T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,558
A10158,1,2007-03-07T00:00:00+01:00,Payment,,36.0,complete,,,,,,,36.0,,
A10159,0,2007-03-06T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,558
A10159,1,2007-03-07T00:00:00+01:00,Payment,,36.0,complete,,,,,,,36.0,,
A1016,0,2006-09-11T00:00:00+02:00,Create Fine,A,0.0,complete,NIL,7,0,,,,,21.0,550
A1016,1,2006-12-29T00:00:00+01:00,Send Fine,,,complete,,,,11.0,,,,,
A10161,0,2007-03-08T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,558
A10161,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10161,2,2007-07-23T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10161,3,2007-09-21T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10161,4,2008-10-15T00:00:00+02:00,Payment,,87.0,complete,,,,,,,87.0,,
A10162,0,2007-03-08T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,558
A10162,1,2007-03-12T00:00:00+01:00,Payment,,36.0,complete,,,,,,,36.0,,
A10163,0,2007-03-08T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,558
A10163,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10164,0,2007-03-08T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,558
A10164,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10164,2,2007-08-13T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10164,3,2007-10-12T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10164,4,2009-03-30T00:00:00+02:00,Send for Credit Collection,,,complete,,,,,,,,,
A10165,0,2007-03-09T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,558
A10165,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10165,2,2007-08-02T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10165,3,2007-10-01T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10165,4,2008-01-21T00:00:00+01:00,Payment,,49.0,complete,,,,,,,49.0,,
A10165,5,2008-10-15T00:00:00+02:00,Payment,,87.0,complete,,,,,,,38.0,,
A10168,0,2007-03-09T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,158,0,,,,,36.0,558
A10168,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10168,2,2007-07-25T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10168,3,2007-09-23T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10168,4,2009-03-30T00:00:00+02:00,Send for Credit Collection,,,complete,,,,,,,,,
A1017,0,2006-09-11T00:00:00+02:00,Create Fine,A,0.0,complete,NIL,7,0,,,,,21.0,550
A1017,1,2006-12-29T00:00:00+01:00,Send Fine,,,complete,,,,11.0,,,,,
A1017,2,2007-01-09T00:00:00+01:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A1017,3,2007-03-10T00:00:00+01:00,Add penalty,,,complete,,,,,,,,42.5,
A1017,4,2007-04-05T00:00:00+02:00,Payment,,32.0,complete,,,,,,,32.0,,
A1017,5,2009-03-30T00:00:00+02:00,Send for Credit Collection,,,complete,,,,,,,,,
A10171,0,2007-03-10T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,558
A10171,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10171,2,2007-08-02T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10171,3,2007-10-01T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10171,4,2009-03-30T00:00:00+02:00,Send for Credit Collection,,,complete,,,,,,,,,
A10174,0,2007-03-10T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,558
A10174,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10175,0,2007-03-10T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,558
A10175,1,2007-03-12T00:00:00+01:00,Payment,,36.0,complete,,,,,,,36.0,,
A10177,0,2007-03-10T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,558
A10177,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10178,0,2007-03-11T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,558
A10178,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10180,0,2007-03-11T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,558
A10180,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10180,2,2007-07-30T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10180,3,2007-09-28T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10180,4,2009-03-30T00:00:00+02:00,Send for Credit Collection,,,complete,,,,,,,,,
A10181,0,2007-03-11T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,558
A10181,1,2007-03-14T00:00:00+01:00,Payment,,36.0,complete,,,,,,,36.0,,
A10184,0,2007-03-12T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,558
A10184,1,2007-09-29T00:00:00+02:00,Send Fine,,,complete,,,,18.6,,,,,
A10185,0,2007-03-12T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,558
A10185,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10186,0,2007-03-12T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,558
A10186,1,2007-03-16T00:00:00+01:00,Payment,,36.0,complete,,,,,,,36.0,,
A10187,0,2007-03-12T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,558
A10187,1,2007-08-20T00:00:00+02:00,Send Fine,,,complete,,,,18.6,,,,,
A10188,0,2007-03-13T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,558
A10188,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10189,0,2007-03-13T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,558
A10189,1,2007-03-29T00:00:00+02:00,Payment,,36.0,complete,,,,,,,36.0,,
A10192,0,2007-03-13T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,558
A10192,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10192,2,2007-07-23T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10192,3,2007-09-21T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10192,4,2009-03-30T00:00:00+02:00,Send for Credit Collection,,,complete,,,,,,,,,
A10193,0,2007-03-13T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,558
A10193,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10193,2,2007-07-25T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10193,3,2007-09-23T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10193,4,2009-03-30T00:00:00+02:00,Send for Credit Collection,,,complete,,,,,,,,,
A10194,0,2007-03-13T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,558
A10194,1,2007-03-13T00:00:00+01:00,Payment,,36.0,complete,,,,,,,36.0,,
A10195,0,2007-03-13T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,558
A10195,1,2007-03-19T00:00:00+01:00,Payment,,36.0,complete,,,,,,,36.0,,
A10196,0,2007-03-13T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,558
A10196,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10196,2,2007-08-05T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10196,3,2007-10-04T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10196,4,2009-03-30T00:00:00+02:00,Send for Credit Collection,,,complete,,,,,,,,,
A102,0,2006-07-30T00:00:00+02:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,35.0,541
A102,1,2006-12-12T00:00:00+01:00,Send Fine,,,complete,,,,11.0,,,,,
A102,2,2007-01-03T00:00:00+01:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A102,3,2007-03-04T00:00:00+01:00,Add penalty,,,complete,,,,,,,,71.5,
A102,4,2009-03-30T00:00:00+02:00,Send for Credit Collection,,,complete,,,,,,,,,
A10203,0,2007-03-05T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,559
A10203,1,2007-06-27T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10203,2,2007-07-06T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10203,3,2007-09-04T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10203,4,2008-02-19T00:00:00+01:00,Payment,,49.0,complete,,,,,,,49.0,,
A10203,5,2008-04-11T00:00:00+02:00,Payment,,87.0,complete,,,,,,,38.0,,
A10205,0,2007-03-08T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,559
A10205,1,2007-08-02T00:00:00+02:00,Send Fine,,,complete,,,,18.6,,,,,
A10205,2,2007-08-09T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10205,3,2007-10-08T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10205,4,2009-03-30T00:00:00+02:00,Send for Credit Collection,,,complete,,,,,,,,,
A10206,0,2007-03-08T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,559
A10206,1,2007-03-14T00:00:00+01:00,Payment,,36.0,complete,,,,,,,36.0,,
A10211,0,2007-03-09T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,559
A10211,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10211,2,2007-08-03T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10211,3,2007-10-02T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10211,4,2009-03-30T00:00:00+02:00,Send for Credit Collection,,,complete,,,,,,,,,
A10212,0,2007-03-09T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,559
A10212,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10212,2,2007-07-23T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10212,3,2007-09-21T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10212,4,2009-03-30T00:00:00+02:00,Send for Credit Collection,,,complete,,,,,,,,,
A10213,0,2007-03-09T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,559
A10213,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10213,2,2007-08-02T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10213,3,2007-10-01T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10213,4,2009-03-30T00:00:00+02:00,Send for Credit Collection,,,complete,,,,,,,,,
A10215,0,2007-03-09T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,559
A10215,1,2007-03-12T00:00:00+01:00,Payment,,36.0,complete,,,,,,,36.0,,
A10216,0,2007-03-09T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,559
A10216,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10216,2,2007-08-04T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10216,3,2007-10-03T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10216,4,2009-03-30T00:00:00+02:00,Send for Credit Collection,,,complete,,,,,,,,,
A10218,0,2007-03-09T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,559
A10218,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10218,2,2007-07-27T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10218,3,2007-09-25T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10218,4,2009-03-30T00:00:00+02:00,Send for Credit Collection,,,complete,,,,,,,,,
A10220,0,2007-03-09T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,559
A10220,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10221,0,2007-03-09T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,559
A10221,1,2007-04-19T00:00:00+02:00,Payment,,36.0,complete,,,,,,,36.0,,
A10223,0,2007-03-10T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,559
A10223,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10223,2,2007-08-03T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10223,3,2007-10-02T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10223,4,2009-03-30T00:00:00+02:00,Send for Credit Collection,,,complete,,,,,,,,,
A10224,0,2007-03-10T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,559
A10224,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10224,2,2007-07-25T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10224,3,2007-09-23T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10224,4,2009-03-30T00:00:00+02:00,Send for Credit Collection,,,complete,,,,,,,,,
A10226,0,2007-03-11T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,559
A10226,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10228,0,2007-03-11T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,559
A10228,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10229,0,2007-03-11T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,559
A10229,1,2007-03-14T00:00:00+01:00,Payment,,36.0,complete,,,,,,,36.0,,
A10230,0,2007-03-11T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,559
A10230,1,2007-03-19T00:00:00+01:00,Payment,,36.0,complete,,,,,,,36.0,,
A10231,0,2007-03-11T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,559
A10231,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10234,0,2007-03-11T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,559
A10234,1,2007-03-13T00:00:00+01:00,Payment,,36.0,complete,,,,,,,36.0,,
A10235,0,2007-03-11T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,559
A10235,1,2007-03-11T00:00:00+01:00,Payment,,36.0,complete,,,,,,,36.0,,
A10236,0,2007-03-11T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,559
A10236,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10236,2,2007-07-30T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10236,3,2007-08-09T00:00:00+02:00,Insert Date Appeal to Prefecture,,,complete,,,,,,,,,
A10236,4,2007-09-28T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10236,5,2007-10-02T00:00:00+02:00,Send Appeal to Prefecture,,,complete,#,,,,,,,,
A10237,0,2007-03-11T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,559
A10237,1,2007-03-12T00:00:00+01:00,Payment,,36.0,complete,,,,,,,36.0,,
A10238,0,2007-03-12T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,559
A10238,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10238,2,2007-07-25T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10238,3,2007-09-23T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10238,4,2009-03-30T00:00:00+02:00,Send for Credit Collection,,,complete,,,,,,,,,
A10242,0,2007-03-14T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,559
A10242,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10242,2,2007-07-24T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10242,3,2007-09-22T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10242,4,2009-03-30T00:00:00+02:00,Send for Credit Collection,,,complete,,,,,,,,,
A10243,0,2007-03-14T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,559
A10243,1,2007-03-15T00:00:00+01:00,Payment,,36.0,complete,,,,,,,36.0,,
A10245,0,2007-03-14T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,559
A10245,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10247,0,2007-03-14T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,559
A10247,1,2007-09-13T00:00:00+02:00,Send Fine,,,complete,,,,18.6,,,,,
A10247,2,2007-10-02T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10247,3,2007-12-01T00:00:00+01:00,Add penalty,,,complete,,,,,,,,74.0,
A10247,4,2009-03-30T00:00:00+02:00,Send for Credit Collection,,,complete,,,,,,,,,
A10249,0,2007-03-14T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,559
A10249,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,22.0,,,,,
A10249,2,2007-07-25T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10249,3,2007-09-23T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10249,4,2007-11-02T00:00:00+01:00,Insert Date Appeal to Prefecture,,,complete,,,,,,,,,
A10249,5,2007-12-28T00:00:00+01:00,Send Appeal to Prefecture,,,complete,NIL,,,,,,,,
A10249,6,2008-01-22T00:00:00+01:00,Receive Result Appeal from Prefecture,,,complete,,,,,,,,,
A10249,7,2008-01-25T00:00:00+01:00,Notify Result Appeal to Offender,,,complete,,,,,,,,,
A10249,8,2008-02-09T00:00:00+01:00,Payment,,94.0,complete,,,,,,,94.0,,
A10250,0,2007-03-14T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,559
A10250,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10250,2,2007-08-02T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10250,3,2007-10-01T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10250,4,2008-09-03T00:00:00+02:00,Payment,,87.0,complete,,,,,,,87.0,,
A10251,0,2007-03-14T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,559
A10251,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10253,0,2007-03-14T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,559
A10253,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10254,0,2007-03-15T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,559
A10254,1,2007-09-29T00:00:00+02:00,Send Fine,,,complete,,,,18.6,,,,,
A10254,2,2007-10-21T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10254,3,2007-12-20T00:00:00+01:00,Add penalty,,,complete,,,,,,,,74.0,
A10254,4,2009-03-30T00:00:00+02:00,Send for Credit Collection,,,complete,,,,,,,,,
A10262,0,2007-03-16T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,559
A10262,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10263,0,2007-03-16T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,559
A10263,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10263,2,2007-08-02T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10263,3,2007-10-01T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10263,4,2009-03-30T00:00:00+02:00,Send for Credit Collection,,,complete,,,,,,,,,
A10264,0,2007-03-16T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,559
A10264,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10265,0,2007-03-16T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,559
A10265,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10266,0,2007-03-16T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,559
A10266,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10266,2,2007-07-23T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10266,3,2007-09-21T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10266,4,2009-03-30T00:00:00+02:00,Send for Credit Collection,,,complete,,,,,,,,,
A10267,0,2007-03-16T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,559
A10267,1,2007-03-22T00:00:00+01:00,Payment,,36.0,complete,,,,,,,36.0,,
A10268,0,2007-03-17T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,559
A10268,1,2007-03-22T00:00:00+01:00,Payment,,36.0,complete,,,,,,,36.0,,
A10269,0,2007-03-17T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,559
A10269,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10269,2,2007-07-23T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10269,3,2007-09-21T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10269,4,2009-03-30T00:00:00+02:00,Send for Credit Collection,,,complete,,,,,,,,,
A10271,0,2007-03-17T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,559
A10271,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10273,0,2007-03-17T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,559
A10273,1,2007-03-20T00:00:00+01:00,Payment,,36.0,complete,,,,,,,36.0,,
A10277,0,2007-03-18T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,559
A10277,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10280,0,2007-03-18T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,559
A10280,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10281,0,2007-03-18T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,559
A10281,1,2007-03-20T00:00:00+01:00,Payment,,36.0,complete,,,,,,,36.0,,
